cluster_id,generated,reference
0,"Top U.S. electronics retail chain posts a 21 percent rise in quarterly profit. 3M Co. posts higher profit, but results come in below Wall Street's estimates. AMD posts profit, predicts sales growth in the current quarter.","Best Buy Quarterly Profit Jumps 21 Pct.  NEW YORK (Reuters) - Best Buy Co. Inc.. Best Buy Quarterly Profit Jumps 21 Pct. NEW YORK (Reuters) - Best Buy Co. Inc. 3M Posts Higher Profit, Misses Estimates  CHICAGO (Reuters) - 3M Co. &lt;A HREF=. 3M Posts Higher Profit, Misses Estimates CHICAGO (Reuters) - 3M Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMM.N target=/stocks/quickinfo/fullquote""&gt;MMM.N&lt;/A&gt; on Monday said third-quarter earnings rose 17 percent due in part to the weak dollar, but the diversified manufacturer's results came in below Wall Street's estimates for the first time in at least seven quarters. AMD Posts Profit, Sees Sales Growth  SAN FRANCISCO (Reuters) - Advanced Micro De. AMD Posts Profit, Sees Sales Growth SAN FRANCISCO (Reuters) - Advanced Micro Devices Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMD.N target=/stocks/quickinfo/fullquote""&gt;AMD.N&lt;/A&gt; on Thursday reported a \$44 million third-quarter profit from a loss a year earlier, and predicted sales growth in the current quarter because of better-than-expected demand for its personal computers processors."
1,Arsene Wenger may be reluctant to let the dust settle on the second successive #39;Battle of Old Trafford. England coach Sven-Goran Eriksson has urged the international soccer authorities to preserve the health of the world superstar footballers.,"Wenger takes second swipe at Ruud DESPITE Ruud van Nistelrooy #39;s apology to A. Wenger takes second swipe at Ruud DESPITE Ruud van Nistelrooy #39;s apology to Ashley Cole, Arsenal boss Arsene Wenger may be reluctant to let the dust settle on the second successive #39;Battle of Old Trafford #39;. Vogts: Scotland played so well A Steffen Iversen penalty was sufficient to secur. Vogts: Scotland played so well A Steffen Iversen penalty was sufficient to secure the points for Norway at Hampden on Saturday. James McFadden was ordered off after 53 minutes for deliberate handball as he punched Claus Lundekvam #39;s header off the line. Top players need more rest, says Eriksson WASHINGTON, Aug. 17 (Xinhuanet) -- Eng. Top players need more rest, says Eriksson WASHINGTON, Aug. 17 (Xinhuanet) -- England coach Sven-Goran Eriksson has urged the international soccer authorities to preserve the health of the world superstar footballers for major tournaments, who expressed his will in Slaley of England on Tuesday ..."
2,"Aramis Ramirez hit a three-run homer as the Cubs beat the Astros 11-6 in a game with three ejections. In the third, Chicago #39;s Todd Walker hit a ground-rule double to score Corey Patterson.","NL: Tempers flare in Cubs #39; win Aramis Ramirez hit a three-run homer as the C. NL: Tempers flare in Cubs #39; win Aramis Ramirez hit a three-run homer as the Cubs beat the Astros 11-6 in a game with three ejections. In the third, Chicago #39;s Todd Walker hit a ground-rule double to score Corey Patterson. BoSox Rip N.Y. 12-5, Protect AL East Hope (AP) AP - The Boston Red Sox blew out. BoSox Rip N.Y. 12-5, Protect AL East Hope (AP) AP - The Boston Red Sox blew out the Yankees and made sure New York can't clinch the AL East in Fenway Park. Manny Ramirez doubled in the tiebreaking run during a seven-run eighth on Saturday night and the Red Sox beat New York 12-5 to preserve their chances of an AL East title. Astros launch into NLCS lead Houston - Jeff Kent sat alone in the dugout Monday,. Astros launch into NLCS lead Houston - Jeff Kent sat alone in the dugout Monday, thinking forward and counting backward. As the sellout crowd of 43,045 screamed, waving white towels, the Houston Astros #39; second baseman began preparing for the biggest at-bat in the franchise #39;s history."
3,Wavering voters are more likely than others to question President Bush's honesty and think the war in Iraq was a mistake. A federally funded group that promised flu shots on Election Day in six of South Carolina's poorest counties has drawn criticism from Republican leaders.,"Wavering Voters Anti-Iraq, Wary of Kerry (AP) AP - In an election where most vot. Wavering Voters Anti-Iraq, Wary of Kerry (AP) AP - In an election where most voters have already chosen sides, the presidency could be decided by a small slice of America in the mushy middle #151; wavering voters who are more likely than others to question President Bush's honesty and think the war in Iraq was a mistake. Review: Campaign Finance Web Sites (AP) AP - As a Washington journalist during t. Review: Campaign Finance Web Sites (AP) AP - As a Washington journalist during the 90s, I made frequent treks to the Federal Election Commission to inspect cabinets full of campaign-finance reports to find out who was giving to whom. GOP Leaders Criticize S.C. Organization (AP) AP - A federally funded group that. GOP Leaders Criticize S.C. Organization (AP) AP - A federally funded group that promised flu shots on Election Day in six of South Carolina's poorest counties has drawn criticism from Republican leaders."
4,United Airlines #39; flight attendants promise to fight company over labor cuts. Delta Air Lines is to cut wages by 10 percent and its chief executive will go unpaid. US Air needs more cost cuts or a boost in revenue to attract investors.,"United #39;s unions face new hit to pay, pensions CHICAGO -- The union for Unite. United #39;s unions face new hit to pay, pensions CHICAGO -- The union for United Airlines #39; flight attendants promised Friday to fight the company quot;over every dime quot; of its plan to impose an additional \$725 million in labor cuts and eliminate traditional pensions. US Air Needs Cuts to Entice Investors  ALEXANDRIA, Va. (Reuters) - US Airways Gr. US Air Needs Cuts to Entice Investors ALEXANDRIA, Va. (Reuters) - US Airways Group Inc. probably will need more cost cuts or a boost in revenue to attract the \$250 million in equity it says it needs to leave bankruptcy next year, the company said on Thursday. Delta To Cut Wages, CEO Forgoes Pay Delta Air Lines is to cut wages by 10 percen. Delta To Cut Wages, CEO Forgoes Pay Delta Air Lines is to cut wages by 10 percent and its chief executive will go unpaid for the rest of the year, but it still warned of bankruptcy within weeks unless more cuts are made."
5,Insurgents kill seven Iraqi police and guardsmen in suicide bombing. The military reported five new U.S. deaths. Two American soldiers were killed and five injured in a rocket attack in Baghdad.,"Insurgents Kill 7 Iraqi Security Forces (AP) AP - Insurgents stepped up attacks. Insurgents Kill 7 Iraqi Security Forces (AP) AP - Insurgents stepped up attacks on Iraq's fledgling security forces, killing seven Iraqi police and guardsmen Monday in a suicide bombing hours after storming a police station north of the capital. The military reported five new U.S. deaths. Baghdad Rocket Attack Kills Two U.S. Soldiers Two American soldiers were killed. Baghdad Rocket Attack Kills Two U.S. Soldiers Two American soldiers were killed and five injured Monday in a rocket attack in Baghdad. The military said the incident occurred in the southern part of the city but provided no other details. Suicide bomb kills 16 at guard centre Iraq #39;s insurgency spread to a relative. Suicide bomb kills 16 at guard centre Iraq #39;s insurgency spread to a relatively calm area near the Syrian border yesterday when a suicide car bomber killed at least 16 people at an Iraqi National Guard centre."
6,"Heavy Rains, Flooding Kill 55 in China's Sichuan. A heavy quake rocked Indonesia #39;s Papua province killing at least 11 people.","Earthquake hit Indonesia, killing 11 and injuring 65 A heavy quake rocked Indone. Earthquake hit Indonesia, killing 11 and injuring 65 A heavy quake rocked Indonesia #39;s Papua province killing at least 11 people and wounding 75. The quake destroyed 150 buildings, including churches, mosques and schools. Japan quake kills 18 Dozens of aftershocks have shaken northern Japan on Sunday. Japan quake kills 18 Dozens of aftershocks have shaken northern Japan on Sunday after the country #39;s deadliest earthquake in nine years killed at least 18 people and injured some 1,400 Heavy Rains, Flooding Kill 55 in China's Sichuan (Reuters) Reuters - Flooding an. Heavy Rains, Flooding Kill 55 in China's Sichuan (Reuters) Reuters - Flooding and landslides set off by\heavy rains have killed 55 people and left 52 missing in\China's southwestern province of Sichuan, state media said on\Monday."
7,IBM and AMD are extending a deal which has seen them co-operating on chip-making technology since 2002. The deal was due to end next year it will now run until December 2008. IBM Puts PC Unit Up for Sale - NY Times.,"AMD and IBM spread the love AMD and IBM are extending a deal which has seen them. AMD and IBM spread the love AMD and IBM are extending a deal which has seen them co-operating on chip-making technology since 2002. The deal was due to end next year it will now run until December 2008. HP Shifting Last of Itanium Engineers  SAN FRANCISCO (Reuters) - Hewlett-Packard. HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPQ.N target=/stocks/quickinfo/fullquote""&gt;HPQ.N&lt;/A&gt; and Intel Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTC.O target=/stocks/quickinfo/fullquote""&gt;INTC.O&lt;/A&gt; on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product. IBM Puts PC Unit Up for Sale - NY Times  NEW YORK (Reuters) - International Busi. IBM Puts PC Unit Up for Sale - NY Times NEW YORK (Reuters) - International Business Machines Corp. has put its personal computing business up for sale in a deal that could be worth as much as \$2 billion, the New York Times reported on Friday."
8,"Amazon and Microsoft Join in Lawsuit Against Spammers. One suit accuses Gold Disk Canada of quot;spoofing, quot; or sending e-mails that appear Antitrust Ruling Reverberates.","Amazon and Microsoft Join in Lawsuit Against Spammers The joint lawsuit was file. Amazon and Microsoft Join in Lawsuit Against Spammers The joint lawsuit was filed yesterday in federal court in Seattle against Gold Disk Canada and its principals -- Barry, Eric and Matthew Head -- and accuses them of misusing Microsoft #39;s Hotmail Amazon, Microsoft Sue Spammers Amazon and Microsoft have filed lawsuits against. Amazon, Microsoft Sue Spammers Amazon and Microsoft have filed lawsuits against companies that used their names to commit fraud on the Internet. One suit accuses Gold Disk Canada of quot;spoofing, quot; or sending e-mails that appear Antitrust Ruling Reverberates (washingtonpost.com) washingtonpost.com - Oracle C. Antitrust Ruling Reverberates (washingtonpost.com) washingtonpost.com - Oracle Corp. was not the only beneficiary of a federal judge's ruling late Thursday that it could proceed with its #36;7.7 billion hostile takeover bid for software rival PeopleSoft Inc. Yesterday, the stock prices of numerous software firms surged during widespread speculation that the antitrust ruling could spark a wave of consolidation in the industry."
9,Crude-oil prices rebounded Friday but remained below \$50 a barrel after declining 4 percent in the last week. Oil prices rose Wednesday ahead of US petroleum inventory data and an OPEC meeting this week.,"Stocks Slide As Oil Nears \$50 a Barrel NEW YORK - Oil prices reached a new high. Stocks Slide As Oil Nears \$50 a Barrel NEW YORK - Oil prices reached a new high and sent stocks lower Monday, but with trading on Wall Street light and losses only moderate, investors seemed to be coming to terms with near-\$50 per barrel crude. After setting a new all-time record settlement price of \$48.88 on Friday, oil continued its march higher on Monday, renewing fears on Wall Street that the slowdown in profits and the economic recovery would extend through the end of the year due to high energy costs... Oil prices rise, but stay below \$50 a barrel Crude-oil prices rebounded Friday. Oil prices rise, but stay below \$50 a barrel Crude-oil prices rebounded Friday but remained below \$50 a barrel after declining 4 percent in the last week due to rising US supplies of crude and natural gas. Crude oil prices rise near US\$42 as traders await US data, OPEC &lt;b&gt;...&lt. Crude oil prices rise near US\$42 as traders await US data, OPEC &lt;b&gt;...&lt;/b&gt; Crude oil prices rose Wednesday ahead of US petroleum inventory data and an OPEC meeting this week at which the group could decide on a production cut."
