text,title,timestamp,label
Report: Pennington Set to Sign Extension with Jets (Reuters) Reuters - The New York Jets and\quarterback Chad Pennington are close to a deal that would make\the quarterback the highest- paid player in franchise history.,Report: Pennington Set to Sign Extension with Jets (Reuters) Reuters - The New Y,1487425884.3257027,2
"Slyusareva Wins Women's Points Race Russia's Olga Slyusareva adds an Olympic gold medal to her collection of world championships, easily winning the points race Wednesday.",Slyusareva Wins Women's Points Race Russia's Olga Slyusareva adds an Olympic gol,1485725554.1562846,2
"Dolphins release safety Edwards The Dolphins have released free safety Antuan Edwards, who has started eight of nine games this season. Agent Brian Levy said Wednesday the Dolphins told him the franchise wanted to take a look at younger players at the position.",Dolphins release safety Edwards The Dolphins have released free safety Antuan Ed,1506153693.9907832,2
"Jets (Eventually) Down Browns, 10-7 For more than three quarters on Sunday, it appeared as if the Jets wouldnt find the end zone if it was loaded with uranium and Quincy Carter was armed with a Geiger counter.","Jets (Eventually) Down Browns, 10-7 For more than three quarters on Sunday, it a",1509047408.9050741,2
"Securing the gold in Athens Despite age-old Olympic truce known as the ekecheiria, or ""holding of hands,"" security experts aren't taking any chances.\",Securing the gold in Athens Despite age-old Olympic truce known as the ekecheiri,1483296999.118326,1
"U.S. Doping Watchdog to Question BALCO's Conte - IAAF HELSINKI (Reuters) - U.S. anti-doping officials plan to question Victor Conte after the BALCO head claimed he saw sprinter Marion Jones taking banned drugs, world athletics body the IAAF said Saturday.",U.S. Doping Watchdog to Question BALCO's Conte - IAAF  HELSINKI (Reuters) - U.S.,1511848880.2506688,2
"IOC urges Beijing to get ready for 2008 Determined to avoid a repeat of the construction delays that threatened the Athens Games, Olympic officials arrived in Beijing on Wednesday.",IOC urges Beijing to get ready for 2008 Determined to avoid a repeat of the cons,1502804280.0790007,2
She #39;s Archie in doubt for cup Last year #39;s Melbourne Cup runner-up She #39;s Archie is in grave doubt to take her place in this year #39;s field after missing trackwork yesterday morning because of quot;general soreness quot;.,She #39;s Archie in doubt for cup Last year #39;s Melbourne Cup runner-up She #3,1500289788.724906,2
EU ministers fail to resolve issue of transit camps FLORENCE: Interior ministers from France and Spain on Monday shot down a German proposal to set up transit camps in North Africa to process asylum seekers before they reach Europe.,EU ministers fail to resolve issue of transit camps FLORENCE: Interior ministers,1500066932.4677706,3
"Oil price at new record of above \$54 pb; Brent crosses \$51 pb NEW YORK, October 12 (newratings.com) - World crude oil prices continued their upward rally today above \$54 per barrel, rising to new record high levels for the sixth consecutive day.","Oil price at new record of above \$54 pb; Brent crosses \$51 pb NEW YORK, Octobe",1498486965.7013807,0
"Lanxess Moving Texas Factory to China (AP) AP - Lanxess Corp., a chemicals and polymers unit of Bayer Corp., plans to move one of its factories from Texas to eastern China's Shandong province, state media reported Wednesday.","Lanxess Moving Texas Factory to China (AP) AP - Lanxess Corp., a chemicals and p",1494570950.2679188,3
"services will make cash flow, says Vodafone Vodafone, the world #39;s largest mobile phone company, believes it can generate an extra 2.5 billion in cash every year by reducing costs and getting customers to spend more on their phones.","services will make cash flow, says Vodafone Vodafone, the world #39;s largest mo",1494156774.0164502,0
"Neumann, 38, gets first LPGA win in six years GOLF NORTH AUGUSTA, SC -- Liselotte Neumann won her first LPGA Tour title in six years, holding off a late charge by Grace Park for a three-stroke victory at the LPGA Asahi Ryokuken International Championship on Sunday.","Neumann, 38, gets first LPGA win in six years GOLF NORTH AUGUSTA, SC -- Liselott",1498110107.3608947,2
"Talks Continue After China Hostage Deadline Passes CHAGMALAI, Pakistan (Reuters) - Islamic militants holding two Chinese engineers hostage in Pakistan threatened to kill one on Monday unless security forces ended a siege of their hideout, a tactic the interior minister said had echoes of Iraq.","Talks Continue After China Hostage Deadline Passes  CHAGMALAI, Pakistan (Reuters",1498181589.5565796,3
"World Muslims Begin Peace Prayers in Bangladesh (Reuters) Reuters - Hundreds of thousands of Muslims from\around the world on Friday began a three-day annual Islamic\prayer meeting outside the Bangladesh capital, Dhaka, with\politics banned and sermons set to call for world peace.",World Muslims Begin Peace Prayers in Bangladesh (Reuters) Reuters - Hundreds of ,1511559009.4350786,3
"IAEA chief hopes Iran suspend enrichment process The International Atomic Energy Agency (IAEA) head, Mohammad ElBaradei, on Monday expressed his hope that suspension of uranium enrichment will be included in the preliminary Iran-EU agreement.",IAEA chief hopes Iran suspend enrichment process The International Atomic Energy,1505618365.929716,3
"Microsoft and Sun #39;s difficult dance news analysis Microsoft and Sun Microsystems may be going steady, but they aren #39;t quite sure where the relationship is headed.",Microsoft and Sun #39;s difficult dance news analysis Microsoft and Sun Microsys,1511524845.1503763,1
Iran Dismisses New Nuke Site Charge as 'A New Lie' VIENNA (Reuters) - A senior Iranian official said on Thursday that the latest allegation that Tehran is hiding a nuclear site from U.N. inspectors was a lie and denied that the U.N. nuclear watchdog had even asked to visit it.,Iran Dismisses New Nuke Site Charge as 'A New Lie'  VIENNA (Reuters) - A senior ,1490938761.1996768,3
Falluja troops under heavy fire US marines in Falluja have come under sustained attack from several different directions in the headquarters they have set up in the Iraqi city.,Falluja troops under heavy fire US marines in Falluja have come under sustained ,1506333187.8865657,3
